Date,Symbol,Company Name,Split Ratio
10/11/2023,AGRI,Agriforce Growing Systems Ltd.,1 : 50
10/11/2023,WORX,Scworx Corp,1 : 15
10/10/2023,FBIO,Fortress Biotech Inc,1 : 15
10/09/2023,SPRU,Spruce Power Holding Corp,1 : 8
10/06/2023,NITO,N2off Inc,1 : 7
10/06/2023,VVPR,Vivopower International PLC,1 : 10
10/05/2023,AEMD,Aethlon Medical Inc,1 : 10
10/05/2023,SXTC,China Sxt Pharmaceuticals Inc,1 : 25
10/03/2023,IRS,Irsa Investments & Representations Inc,1 : 1.1
10/03/2023,VCSA,Vacasa Inc,1 : 20
10/02/2023,AKA,Aka Brands Holding Corp,1 : 12
10/02/2023,SKIL,Skillsoft Corp,1 : 20
10/02/2023,EBET,Ebet Inc,1 : 30
10/02/2023,ARR,Armour Residential Reit Inc,1 : 5
10/02/2023,UTRS,Minerva Surgical Inc,1 : 20
10/02/2023,NCTY,The9 Ltd.,1 : 10
10/01/2023,HMC,Honda Motor Co Ltd.,
09/29/2023,TOPS,Top Ships Inc,1 : 12
09/29/2023,FATH,Fathom Digital Manufacturing Corp,1 : 20
09/29/2023,CRIS,Curis Inc,1 : 20
09/28/2023,XWEL,Xwell Inc,1 : 20
09/28/2023,SYBX,Synlogic Inc,1 : 15
09/28/2023,SPRC,Scisparc Ltd.,1 : 26
09/28/2023,NVNI,Nvni Group Ltd.,1 : 6.87
09/27/2023,RBTC,Rubicon Technologies Inc,1 : 8
09/26/2023,FTK,Flotek Industries Inc,1 : 6
09/25/2023,FAMI,Farmmi Inc,1 : 8
09/22/2023,NTRP,Nexttrip Inc,1 : 20
09/22/2023,CPTN,Cepton Inc,1 : 10
09/22/2023,XTKG,X3 Holdings Co Ltd.,1 : 8
09/22/2023,PRPO,Precipio Inc,1 : 20
09/21/2023,PYPD,Polypid Ltd.,1 : 30
09/21/2023,SOND,Sonder Holdings Inc,1 : 20
09/21/2023,SMTK,Smartkem Inc,1 : 35
09/20/2023,DATS,Datchat Inc,1 : 10
09/20/2023,SOGP,Sound Group Inc,1 : 10
09/19/2023,AXLA,Axcella Health Inc,1 : 25
09/18/2023,AEHL,Antelope Enterprise Holdings Ltd.,1 : 10
09/18/2023,AYRO,Ayro Inc,1 : 8
09/18/2023,PHXM,Phaxiam Therapeutics SA,1 : 10
09/15/2023,KXIN,Kaixin Holdings,1 : 15
09/14/2023,ASTR,Astra Space Inc,1 : 15
09/13/2023,AVGR,Avinger Inc,1 : 15
09/12/2023,WETH,Wetouch Technology Inc,1 : 20
09/12/2023,LFLY,Leafly Holdings Inc,1 : 20
09/12/2023,AMPE,Ampio Pharmaceuticals Inc,1 : 20
09/12/2023,ASTI,Ascent Solar Technologies Inc,1 : 200
09/12/2023,DNTH,Dianthus Therapeutics Inc,1 : 16
09/11/2023,EFSH,1847 Holdings LLC,1 : 25
09/11/2023,SLE,Super League Enterprise Inc,1 : 20
09/11/2023,ABAT,American Battery Technology Co.,1 : 15
09/08/2023,ACFN,Acorn Energy Inc,1 : 16
09/08/2023,BACK,Imac Holdings Inc,1 : 30
09/08/2023,SYRE,Spyre Therapeutics Inc,1 : 25
09/08/2023,SKYE,Skye Bioscience Inc,1 : 250
09/07/2023,GROM,Grom Social Enterprises Inc,1 : 20
09/07/2023,RVYL,Ryvyl Inc,1 : 10
09/05/2023,WEWKQ,Wework Inc,1 : 40
09/05/2023,HARP,Harpoon Therapeutics Inc,1 : 10
09/01/2023,HLGN,Heliogen Inc,1 : 35
09/01/2023,SONN,Sonnet Biotherapeutics Holdings Inc,1 : 22
08/31/2023,SEQL,Seqll Inc,1 : 40
08/31/2023,EXPR,Express Inc,1 : 20
08/31/2023,SPIR,Spire Global Inc,1 : 8
08/29/2023,DMSL,Digital Media Solutions Inc,1 : 15
08/25/2023,RCRT,Recruitercom Group Inc,1 : 15
08/25/2023,IDEX,Ideanomics Inc,1 : 125
08/25/2023,CLVV,Clever Leaves Holdings Inc,1 : 30
08/25/2023,ICCT,Icoreconnect Inc,1 : 29.84
08/24/2023,MNTS,Momentus Inc,1 : 50
